State,LGA
FCT,Gwagwalada 
FCT,Kuje 
FCT, Abaji 
FCT, Abuja Municipal 
FCT, Bwari 
FCT, Kwali
Abia,Aba North 
Abia,Aba South 
Abia, Arochukwu 
Abia, Bende 
Abia, Ikwuano 
Abia, Isiala-Ngwa North 
Abia, Isiala-Ngwa South 
Abia, Isuikwato 
Abia, Obi Nwa 
Abia, Ohafia 
Abia, Osisioma 
Abia, Ngwa 
Abia, Ugwunagbo 
Abia, Ukwa East 
Abia, Ukwa West 
Abia, Umuahia North 
Abia, Umuahia South 
Abia, Umu-Neochi
Adamawa,Demsa 
Adamawa,Fufore 
Adamawa,Ganaye 
Adamawa,Gireri 
Adamawa,Gombi 
Adamawa,Guyuk 
Adamawa,Hong 
Adamawa,Jada 
Adamawa,Lamurde 
Adamawa,Madagali 
Adamawa,Maiha  
Adamawa,Mayo-Belwa 
Adamawa,Michika 
Adamawa,Mubi North 
Adamawa,Mubi South 
Adamawa,Numan 
Adamawa,Shelleng 
Adamawa,Song 
Adamawa,Toungo 
Adamawa,Yola North 
Adamawa,Yola South
Akwa Ibom,Abak 
Akwa Ibom,Eastern Obolo 
Akwa Ibom,Eket 
Akwa Ibom,Esit Eket 
Akwa Ibom,Essien Udim 
Akwa Ibom,Etim Ekpo 
Akwa Ibom,Etinan 
Akwa Ibom,Ibeno 
Akwa Ibom,Ibesikpo Asutan 
Akwa Ibom,Ibiono Ibom 
Akwa Ibom,Ika 
Akwa Ibom,Ikono 
Akwa Ibom,Ikot Abasi 
Akwa Ibom,Ikot Ekpene 
Akwa Ibom,Ini 
Akwa Ibom,Itu 
Akwa Ibom,Mbo 
Akwa Ibom,Mkpat Enin 
Akwa Ibom,Nsit Atai 
Akwa Ibom,Nsit Ibom 
Akwa Ibom,Nsit Ubium 
Akwa Ibom,Obot Akara 
Akwa Ibom,Okobo 
Akwa Ibom,Onna 
Akwa Ibom,Oron  
Akwa Ibom,Oruk Anam 
Akwa Ibom,Udung Uko 
Akwa Ibom,Ukanafun 
Akwa Ibom,Uruan 
Akwa Ibom,Urue-Offong/Oruko 
Akwa Ibom,Uyo
Anambra,Aguata 
Anambra,Anambra East 
Anambra,Anambra West 
Anambra,Anaocha 
Anambra,Awka North 
Anambra,Awka South 
Anambra,Ayamelum 
Anambra,Dunukofia 
Anambra,Ekwusigo 
Anambra,Idemili North 
Anambra,Idemili south 
Anambra,Ihiala 
Anambra,Njikoka 
Anambra,Nnewi North 
Anambra,Nnewi South 
Anambra,Ogbaru 
Anambra,Onitsha North 
Anambra,Onitsha South 
Anambra,Orumba North 
Anambra,Orumba South 
Anambra,Oyi 
Bauchi,Alkaleri 
Bauchi,Bauchi 
Bauchi,Bogoro 
Bauchi,Damban 
Bauchi,Darazo 
Bauchi,Dass 
Bauchi,Ganjuwa 
Bauchi,Giade 
Bauchi,Itas/Gadau 
Bauchi,Jama'are 
Bauchi,Katagum 
Bauchi,Kirfi 
Bauchi,Misau 
Bauchi,Ningi 
Bauchi,Shira 
Bauchi,Tafawa-Balewa 
Bauchi,Toro 
Bauchi,Warji 
Bauchi,Zaki 
Bayelsa,Brass 
Bayelsa,Ekeremor 
Bayelsa,Kolokuma/Opokuma 
Bayelsa,Nembe 
Bayelsa,Ogbia 
Bayelsa,Sagbama 
Bayelsa,Southern Jaw 
Bayelsa,Yenegoa 
Benue,Ado 
Benue,Agatu 
Benue,Apa 
Benue,Buruku 
Benue,Gboko 
Benue,Guma 
Benue,Gwer East 
Benue,Gwer West 
Benue,Katsina-Ala 
Benue,Konshisha 
Benue,Kwande 
Benue,Logo 
Benue,Makurdi 
Benue,Obi 
Benue,Ogbadibo 
Benue,Oju 
Benue,Okpokwu 
Benue,Ohimini 
Benue,Oturkpo 
Benue,Tarka 
Benue,Ukum 
Benue,Ushongo 
Benue,Vandeikya 
Bornu,Abadam 
Bornu,Askira/Uba 
Bornu,Bama 
Bornu,Bayo 
Bornu,Biu 
Bornu,Chibok 
Bornu,Damboa 
Bornu,Dikwa 
Bornu,Gubio 
Bornu,Guzamala 
Bornu,Gwoza 
Bornu,Hawul 
Bornu,Jere 
Bornu,Kaga 
Bornu,Kala/Balge 
Bornu,Konduga 
Bornu,Kukawa 
Bornu,Kwaya Kusar 
Bornu,Mafa 
Bornu,Magumeri 
Bornu,Maiduguri 
Bornu,Marte 
Bornu,Mobbar 
Bornu,Monguno 
Bornu,Ngala 
Bornu,Nganzai 
Bornu,Shani 
Cross River,Akpabuyo 
Cross River,Odukpani 
Cross River,Akamkpa 
Cross River,Biase 
Cross River,Abi 
Cross River,Ikom 
