StateID,LGA
1,Gwagwalada 
1,Kuje 
1, Abaji 
1, Abuja Municipal 
1, Bwari 
1, Kwali
2,Aba North 
2,Aba South 
2, Arochukwu 
2, Bende 
2, Ikwuano 
2, Isiala-Ngwa North 
2, Isiala-Ngwa South 
2, Isuikwato 
2, Obi Nwa 
2, Ohafia 
2, Osisioma 
2, Ngwa 
2, Ugwunagbo 
2, Ukwa East 
2, Ukwa West 
2, Umuahia North 
2, Umuahia South 
2, Umu-Neochi
3,Demsa 
3,Fufore 
3,Ganaye 
3,Gireri 
3,Gombi 
3,Guyuk 
3,Hong 
3,Jada 
3,Lamurde 
3,Madagali 
3,Maiha  
3,Mayo-Belwa 
3,Michika 
3,Mubi North 
3,Mubi South 
3,Numan 
3,Shelleng 
3,Song 
3,Toungo 
3,Yola North 
3,Yola South
4,Abak 
4,Eastern Obolo 
4,Eket 
4,Esit Eket 
4,Essien Udim 
4,Etim Ekpo 
4,Etinan 
4,Ibeno 
4,Ibesikpo Asutan 
4,Ibiono Ibom 
4,Ika 
4,Ikono 
4,Ikot Abasi 
4,Ikot Ekpene 
4,Ini 
4,Itu 
4,Mbo 
4,Mkpat Enin 
4,Nsit Atai 
4,Nsit Ibom 
4,Nsit Ubium 
4,Obot Akara 
4,Okobo 
4,Onna 
4,Oron  
4,Oruk Anam 
4,Udung Uko 
4,Ukanafun 
4,Uruan 
4,Urue-Offong/Oruko 
4,Uyo
5,Aguata 
5,Anambra East 
5,Anambra West 
5,Anaocha 
5,Awka North 
5,Awka South 
5,Ayamelum 
5,Dunukofia 
5,Ekwusigo 
5,Idemili North 
5,Idemili south 
5,Ihiala 
5,Njikoka 
5,Nnewi North 
5,Nnewi South 
5,Ogbaru 
5,Onitsha North 
5,Onitsha South 
5,Orumba North 
5,Orumba South 
5,Oyi 
6,Alkaleri 
6,Bauchi 
6,Bogoro 
6,Damban 
6,Darazo 
6,Dass 
6,Ganjuwa 
6,Giade 
6,Itas/Gadau 
6,Jama'are 
6,Katagum 
6,Kirfi 
6,Misau 
6,Ningi 
6,Shira 
6,Tafawa-Balewa 
6,Toro 
6,Warji 
6,Zaki 
7,Brass 
7,Ekeremor 
7,Kolokuma/Opokuma 
7,Nembe 
7,Ogbia 
7,Sagbama 
7,Southern Jaw 
7,Yenegoa 
8,Ado 
8,Agatu 
8,Apa 
8,Buruku 
8,Gboko 
8,Guma 
8,Gwer East 
8,Gwer West 
8,Katsina-Ala 
8,Konshisha 
8,Kwande 
8,Logo 
8,Makurdi 
8,Obi 
8,Ogbadibo 
8,Oju 
8,Okpokwu 
8,Ohimini 
8,Oturkpo 
8,Tarka 
8,Ukum 
8,Ushongo 
8,Vandeikya 
9,Abadam 
